optimiseur,epoque,train_loss,train_acc,val_loss,val_acc,val_f1,epoch_time_s,peak_memory_mb,loss_std_epoch,inference_time_ms,avg_loss_std
AdamW,1,0.5469029462999768,0.6995,0.3509969897568226,0.844,0.8446215139442231,19.98218059539795,2197.755904,0.13081208326079355,90.57992696762085,0.10478584319957167
AdamW,2,0.27480221527909476,0.9005,0.3712956551462412,0.836,0.844106463878327,18.88823938369751,2197.755904,0.10840278719028477,90.57992696762085,0.10478584319957167
AdamW,3,0.1949847283817473,0.939,0.3805846534669399,0.84,0.849624060150376,19.358591556549072,2197.755904,0.0751426591476367,90.57992696762085,0.10478584319957167
SGD,1,0.681403156310793,0.557,0.6887553110718727,0.488,0.6559139784946236,19.9918315410614,1917.92384,0.03153753087479519,96.25063836574554,0.032043656447466824
SGD,2,0.640983692237309,0.639,0.6150625720620155,0.738,0.7768313458262351,19.757524728775024,1917.92384,0.03171279618597196,96.25063836574554,0.032043656447466824
SGD,3,0.5716567995056273,0.788,0.5691327936947346,0.804,0.8191881918819188,21.165438413619995,1917.92384,0.03288064228163332,96.25063836574554,0.032043656447466824
Adagrad,1,0.5303188070418343,0.7175,0.32525517605245113,0.862,0.849015317286652,21.94497585296631,1906.12736,0.158962759489551,96.33302688598633,0.11649688944140812
Adagrad,2,0.2780892600615819,0.8905,0.3113945024088025,0.864,0.8577405857740585,20.455151319503784,1906.12736,0.0950761826272925,96.33302688598633,0.11649688944140812
Adagrad,3,0.1608612515209686,0.9425,0.37336909072473645,0.858,0.8588469184890656,20.458088636398315,1906.12736,0.09545172620738088,96.33302688598633,0.11649688944140812
RMSprop,1,0.5336972524722418,0.7265,0.487290907651186,0.772,0.8047945205479452,20.54294991493225,1918.317056,0.12690964184191741,97.02135622501373,0.09913628155894803
RMSprop,2,0.32845372458299,0.86,0.4202769696712494,0.798,0.8206039076376554,21.576654195785522,1918.317056,0.09377422831257419,97.02135622501373,0.09913628155894803
RMSprop,3,0.17551191494105353,0.9345,0.3629219960421324,0.864,0.8612244897959184,20.708812713623047,1918.317056,0.07672497452235248,97.02135622501373,0.09913628155894803
AdaFactor,1,0.6887379865797739,0.546,0.6923288255929947,0.488,0.6549865229110512,24.799673795700073,1639.259648,0.010167399560213047,97.24117815494537,0.0452861937694467
AdaFactor,2,0.6550048003121028,0.59,0.6037831492722034,0.63,0.7218045112781954,23.856343746185303,1639.259648,0.038545214006015405,97.24117815494537,0.0452861937694467
AdaFactor,3,0.4547377938315982,0.8265,0.3722291635349393,0.85,0.8466257668711656,22.620715618133545,1639.259648,0.08714596774211164,97.24117815494537,0.0452861937694467
